Date,Identify as DPP,Identify as KMT,Identify as Neutral/Independent
5/1/16,49.30%,16.6,31.5
6/1/16,51.6,18.9,27
7/1/16,44.9,19.3,31.5
8/1/16,42.5,19.2,35.4
10/1/16,41.3,23.8,32.5
11/1/16,38.6,21,36.5
12/1/16,33.8,25.1,36.3
1/1/17,33.7,22.7,39.8
2/1/17,33.8,19.2,44.1
3/1/17,31.4,22.1,43.4
4/1/17,30.9,23.4,42.9
5/1/17,34.4,22.9,41.1
6/1/17,28.7,24.4,44.2
8/1/17,27.8,24.1,44.9
10/1/17,32.5,25.2,38.7
11/1/17,33.2,22,41.2
1/1/18,28,24,43.4
4/1/18,26.2,23.2,46.6
5/1/18,36.7,21.9,37.4
6/1/18,29.5,23.2,43.7
7/1/18,25.2,20.7,49.6
8/1/18,24.5,24.5,46.9
11/1/18,23.5,35.4,36
12/1/18,27.5,35.6,32.2
2/1/19,31.7,36.5,29.4
3/1/19,37.3,34.5,24.1
4/1/19,39,30.5,28.3
5/1/19,41.1,32,23.9
6/1/19,45.4,31.6,19.8
7/1/19,40,38.8,17.5
8/1/19,39.5,32.6,24.9
9/1/19,40.2,33.7,24.3
11/1/19,49.6,29.4,18.1